year;exp_p
2024;50.387323736218235
2025;52.19289092781523
2026;56.81591558269639
2027;58.95184965490743
2028;59.56027705354042
2029;62.070341750980774
2030;62.9338173655191
2031;65.6304938174968
2032;66.32636075785123
2033;68.87816903013315
2034;69.34871313678711
2035;71.91442154082222
2036;72.20580975206867
2037;74.59968764709947
2038;74.68463845242914
2039;76.93484740214174
2040;76.887524244282
