Domizil;Beobachtungseinheit;Art;Geschlecht;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Schweiz;Anzahl Renten;Waise (Mutter);Total;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;6'492;6'819;6'793;6'850;7'196;7'431;7'429;7'669;7'644;7'577;7'620;7'571;7'638;7'563;7'450;7'325;7'184;7'128;6'962;6'772;6'663;6'528;6'336;6'238;6'080;5'952;5'856;5'803;5'698;5'648
Schweiz;Anzahl Renten;Waise (einfach);Total;24'734;27'799;30'484;35'840;38'099;40'177;41'124;42'217;44'651;50'887;53'596;55'696;55'323;46'729;56'007;54'722;55'189;55'245;54'481;54'084;53'176;52'687;…;…;…;…;…;49'083;48'642;47'880;46'937;47'590;46'301;45'592;44'411;43'593;42'302;40'666;38'853;36'974;35'493;33'707;32'161;30'878;30'050;29'575;27'738;28'251;28'005;27'972;28'563;29'087;29'061;29'598;29'448;29'165;29'296;28'938;28'530;28'126;27'645;27'397;26'869;26'296;25'671;25'093;24'595;24'195;23'513;23'029;22'480;21'952;21'663;21'587;21'006;20'670
Schweiz;Anzahl Renten;Waise (doppelt);Total;1'807;1'937;1'942;2'069;2'143;2'149;2'046;2'035;2'108;2'134;2'188;2'210;2'080;1'618;2'004;1'927;1'881;1'884;1'881;1'963;1'916;1'802;…;…;…;…;…;1'354;1'344;1'258;1'134;1'183;1'157;1'184;1'141;1'154;1'047;1'012;948;907;827;756;693;667;616;609;565;594;616;568;474;399;347;311;271;233;197;160;131;104;99;82;68;61;43;38;37;31;27;26;28;31;25;18;24;25
Ausland;Anzahl Renten;Altersrente;Männer;–;303;946;1'632;…;…;…;…;…;…;…;…;9'809;8'743;10'519;10'607;…;…;…;…;…;…;…;…;…;…;…;18'578;18'756;21'075;23'185;27'647;29'651;31'796;33'403;34'729;35'901;37'871;41'283;44'617;48'306;52'265;56'084;60'126;64'594;69'717;74'779;75'047;83'262;90'340;97'164;105'288;115'046;142'747;156'024;173'968;194'514;216'068;234'821;252'072;268'927;285'913;300'631;316'411;332'020;346'743;360'843;372'519;382'792;391'288;399'199;407'251;412'548;416'147;419'834;425'084
Ausland;Anzahl Renten;Altersrente;Frauen;–;324;986;1'840;…;…;…;…;…;…;…;…;17'750;16'710;19'637;20'411;…;…;…;…;…;…;…;…;…;…;…;37'522;38'103;41'784;44'826;49'538;51'313;53'312;56'769;61'332;66'361;72'091;78'320;84'644;91'878;99'785;107'797;115'968;125'159;135'201;144'771;144'847;158'825;173'173;179'586;191'673;200'325;214'267;222'296;234'554;248'732;252'986;262'827;275'241;286'793;297'419;306'834;316'360;326'026;334'799;342'869;348'724;354'346;358'606;362'166;365'399;366'943;367'902;368'965;371'343
Ausland;Anzahl Renten;Zusatzrenten für Ehepartner;Männer;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;0;0;0;12;19;34;41;37;39;46;39;37;32;27;25;24;23;26;27;27;25;20;18;16;14;11
Ausland;Anzahl Renten;Zusatzrenten für Ehepartner;Frauen;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1'062;1'294;1'359;1'443;1'557;1'609;…;…;…;…;…;2'271;2'340;2'793;3'302;4'789;6'060;7'488;7'662;7'281;6'882;6'913;7'617;8'152;8'518;8'803;9'162;9'498;10'197;10'663;11'455;12'529;14'471;16'906;19'483;24'043;28'724;33'253;35'656;37'265;37'989;41'225;42'842;43'312;42'627;41'416;39'926;38'265;36'474;34'702;32'845;30'840;28'824;26'723;24'598;22'463;20'354;18'099;15'801;13'774
Ausland;Anzahl Renten;Zusatzrente für Kinder (Vater);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;3'379;3'502;3'877;4'329;4'837;5'194;5'590;5'867;6'261;6'621;6'911;7'180;7'431;7'613;7'916;8'179;8'297;8'452;8'742;9'006;9'216;9'251;9'319
Ausland;Anzahl Renten;Zusatzrente für Kinder (Mutter);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;501;363;376;389;307;289;294;270;260;266;292;337;375;393;372;371;378;377;436;454;480;471;486
Ausland;Anzahl Renten;Zusatzrente für Kinder (Vater oder Mutter);Total;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;221;325;386;440;480;558;…;…;…;…;…;1'047;1'041;1'240;1'315;1'625;1'696;1'714;1'682;1'756;1'790;1'817;1'945;2'066;2'096;2'181;2'286;2'349;2'507;2'595;2'563;3'153;3'272;2'969;3'307;3'204;3'610;3'880;3'865;4'253;4'718;5'144;5'483;5'884;6'137;6'521;6'887;7'203;7'517;7'806;8'006;8'288;8'550;8'675;8'829;9'178;9'460;9'696;9'722;9'805
